_Sr No.,World Ranking,Germany Ranking,_University Name,University Name,Course Type,Course Name,Course World Ranking,Teaching language,_language Req.,_Admission without IELTS/TOFEL,Required German Grade,GRE,Tution Fee (Per semester),Beginning Semester,Application DeadLine,Duration,Go to course website,Submit application to,_Daad SIte,Updated By,Checked By,Post writing ,Comment,
858,3747,152,ESMT Berlin,<a href="https://howtoabroad.com/esmt-berlin/" title="ESMT Berlin" target="_blank" >ESMT Berlin</a>   ",Master's degree,Part-time Master of Business Administration (Part-time MBA),,English,,,,,"9.500,00",Winter,,4 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7075/,,,,,
1386,3747,152,ESMT Berlin,<a href="https://howtoabroad.com/esmt-berlin/" title="ESMT Berlin" target="_blank" >ESMT Berlin</a>   ",Master's degree,Full-time Master of Business Administration (MBA),,English,,,,,"21.750,00",,,2 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7108/,,,,,
36,3167,125,Esslingen University of Applied Sciences,<a href="https://howtoabroad.com/esslingen-university-of-applied-sciences/" title="Esslingen University of Applied Sciences" target="_blank" >Esslingen University of Applied Sciences</a>,Master's degree,Automotive Systems,,English,,,,,"1.500,00",Winter,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5423/,,,,,
135,3167,125,Esslingen University of Applied Sciences,<a href="https://howtoabroad.com/esslingen-university-of-applied-sciences/" title="Esslingen University of Applied Sciences" target="_blank" >Esslingen University of Applied Sciences</a>,Master's degree,Design and Development in Automotive and Mechanical Engineering,,English,,,,,"1.500,00",Winter,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5440/,,,,,
213,3167,125,Esslingen University of Applied Sciences,<a href="https://howtoabroad.com/esslingen-university-of-applied-sciences/" title="Esslingen University of Applied Sciences" target="_blank" >Esslingen University of Applied Sciences</a>,Master's degree,Esslingen MBA in International Industrial Management,,English,,,,,"1.200,00",Winter,,3 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5426/,,,,,
1175,1920,84,European University Viadrina,<a href="https://howtoabroad.com/european-university-viadrina/" title="European University Viadrina" target="_blank" >European University Viadrina</a>,Master's degree,International Business Administration,,English&German,,,,,none,Winter& Summer,,4 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3731/,,,,,
1366,1920,84,European University Viadrina,<a href="https://howtoabroad.com/european-university-viadrina/" title="European University Viadrina" target="_blank" >European University Viadrina</a>,Bachelor's degree,International Business Administration,,German&English,,,,,none,Winter,,6 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3730/,,,,,
572,2724,102,FH Aachen University of Applied Sciences,<a href="https://howtoabroad.com/fh-aachen-university-of-applied-sciences/" title="FH Aachen University of Applied Sciences" target="_blank" >FH Aachen University of Applied Sciences</a>,Master's degree,Master of Science in Biomedical Engineering,,English,,,,,none,Winter& Summer,,4 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3754/,,,Phase 2,,
663,2724,102,FH Aachen University of Applied Sciences,<a href="https://howtoabroad.com/fh-aachen-university-of-applied-sciences/" title="FH Aachen University of Applied Sciences" target="_blank" >FH Aachen University of Applied Sciences</a>,Master's degree,Master of Science in Nuclear Applications (MNA),,English,,,,,none,Winter& Summer,,4 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3810/,,,Phase 3,,
993,2724,102,FH Aachen University of Applied Sciences,<a href="https://howtoabroad.com/fh-aachen-university-of-applied-sciences/" title="FH Aachen University of Applied Sciences" target="_blank" >FH Aachen University of Applied Sciences</a>,Bachelor's degree,Bachelor of Engineering in Biomedical Engineering,,German,,,,,none,Winter,,6 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4008/,,,,,
994,2724,102,FH Aachen University of Applied Sciences,<a href="https://howtoabroad.com/fh-aachen-university-of-applied-sciences/" title="FH Aachen University of Applied Sciences" target="_blank" >FH Aachen University of Applied Sciences</a>,Bachelor's degree,Bachelor of Engineering in Electrical Engineering,,German,,,,,none,Winter,,6 semesters,,,https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3998/,,,,,
