S.no;World_Ranking;German_Ranking;University_Name;HTA_Uni_Link;Course Type;Course_Type;City;Course_Name;Course_Ranking;Teaching_Language;Language_Requirement;Admission_IELTS_TOFEL;Required_German_Grade;GRE;Tuition_Fee;Tuition Fee Per;Semester_Start;Application_Deadline_Winter;Application_Deadline_Summer;Duration;Course_Link;Application_Link;Logo;Responsible Person;_Daad SIte;Updated;State;Comment;Tags_Alternate;Uni_Type
1210;862;58;University of Siegen;https://howtoabroad.com/university-of-siegen/;Master;Master;Siegen;Master of Law of the Globalised Economy;58 (For Economics);English, German;;;;;None;;Winter;;;4 semesters;;https://unisono.uni-siegen.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/University-of-Siegen.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4299/;11-Jun;North Rhine-Westphalia;;;
1211;1223;65;University of Passau;https://howtoabroad.com/university-of-passau/;Master;Master;Passau;Master of Laws in German and Russian Law;45 (For Law);English, Russian;;;;;None;;Winter;15-Jul;;4 semesters;https://www.uni-passau.de/en/llm-gerruslaw/;https://www.uni-passau.de/en/apply/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/07/800px-Uni_Passau-Logo.svg_.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5369/;11-Jun;Bavaria;;;
1212;131;6;University of Hamburg;https://howtoabroad.com/the-university-of-hamburg/;Master;Master;Hamburg;Master of International Taxation (M.I.Tax);;English, German;;;;;€ 4170,0;Semester;Winter;15-Jul;;2 semesters;https://www.uni-hamburg.de/en/campuscenter/studienangebot/studiengang.html?1115111069;https://www.jura.uni-hamburg.de/forschung/institute-forschungsstellen-und-zentren/iifs/mitax/bewerbung-zulassung.html;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/university-hamburg.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4394/;11-Jun;Hamburg State;;;
1213;2785;103;FH Aachen University of Applied Sciences;https://howtoabroad.com/fh-aachen-university-of-applied-sciences/;Master;Master;Aachen;Master of Science in Aerospace Engineering (MSc);NA;English, German;;;;;None;;Winter, Summer;31-May;30-Nov;3 semesters;https://www.fh-aachen.de/studium/aerospace-engineering-msc;https://h1.fh-aachen.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/FH-Aachen-University-of-Applied-Sciences.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3854/;11-Jun;North Rhine-Westphalia;;;
1214;665;48;(TU) Technical University Kaiserslautern;https://howtoabroad.com/technical-university-of-kaiserslautern-tuk/;Master;Master;Kaiserslautern;Master of Science in Commercial Vehicle Technology;;English, German;;;;;None;;Winter;30-Apr;;4 semesters;https://www.uni-kl.de/studiengang/22816/Commercial_Vehicle_Technology_Master_of_Science;https://studienbewerbung.uni-kl.de/?course=22816;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/04/TU-Kaiserslautern.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3946/;11-Jun;Rhineland-Palatinate;;;
1215;205;16;FAU Erlangen-Nurnberg;https://howtoabroad.com/friedrich-alexander-university/;Master;Master;Nuremberg;Master of Science in Economics;28 (For Economics);English, German;;;;;None;;Winter;15-Jul;;4 semesters;https://meinstudium.fau.de/studienangebot/economics-msc/;https://www.campo.fau.de/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/03/Friedrich–Alexander-Universitat-FAU.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4568/;11-Jun;Bavaria;;;
1216;750;53;University of Oldenburg;https://howtoabroad.com/university-of-oldenburg/;Master;Master;Oldenburg;Master of Science in Engineering Physics;56 (For Physics);English, German;;;;;None;;Winter, Summer;30-Sep;31-Mar;4 semesters;https://uol.de/en/students/course-of-study?id_studg=2&cHash=97147c810caa214764482d7bf209e699;https://www.uni-assist.de/;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/University-of-Oldenburg.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3746/;11-Jun;Lower Saxony;;;
1217;2785;103;FH Aachen University of Applied Sciences;https://howtoabroad.com/fh-aachen-university-of-applied-sciences/;Master;Master;Aachen;Master of Science in International Automotive Engineering;NA;English, German;;;;;None;;Winter, Summer;31-May;30-Nov;3 semesters;https://www.fh-aachen.de/studium/international-automotive-engineering-msc;https://h1.fh-aachen.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/FH-Aachen-University-of-Applied-Sciences.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3823/;11-Jun;North Rhine-Westphalia;;;
1218;2785;103;FH Aachen University of Applied Sciences;https://howtoabroad.com/fh-aachen-university-of-applied-sciences/;Master;Master;Aachen;Master of Science in Mechatronics;;English, German;;;;;None;;Winter;30-Jun;;4 semesters;https://www.fh-aachen.de/studium/mechatronics-msc;https://h1.fh-aachen.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/11/FH-Aachen-University-of-Applied-Sciences.png;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3697/;11-Jun;North Rhine-Westphalia;;;
1219;4108;149;Offenburg University of Applied Sciences;https://howtoabroad.com/offenburg-university/;Master;Master;Offenburg;Master of Science in Renewable Energy and Data Engineering;NA;English, German;;;;;Varied;;Winter;31-Mar;;3 semesters;https://www.hs-offenburg.de/en/studium/studiengaenge/master/renewable-energy-and-data-engineering/prospective-students;https://hisinone.hs-offenburg.de/qisserver/pages/cs/sys/portal/hisinoneStartPage.faces?chco=y;https://i0.wp.com/howtoabroad.com/wp-content/uploads/2021/09/Offenburg-University-logo.jpg;Arya;https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4774/;11-Jun;Baden-Wurttemberg;;;
